Time,Original_Signal,Cleaned_Signal,Artifacts_Detected
122.846,-0.12156862745098,-1.5089276177722326,0
122.847,-0.127450980392157,-1.6086007664927304,0
122.848,-0.12156862745098,-1.6893476594095986,0
122.849,-0.105882352941176,-1.7503515749954133,0
122.85,-0.12156862745098,-1.791204350431554,0
122.851,-0.111764705882353,-1.8117461038750309,0
122.852,-0.12156862745098,-1.8119279245038324,0
122.853,-0.105882352941176,-1.7917130735095168,0
122.854,-0.117647058823529,-1.7510257625938466,0
122.855,-0.105882352941176,-1.6897504605146987,0
122.856,-0.117647058823529,-1.607779083669789,0
122.857,-0.117647058823529,-1.5050984451076193,0
122.858,-0.131372549019608,-1.3819061743437775,0
122.859,-0.111764705882353,-1.2387403226988623,0
122.86,-0.12156862745098,-1.0766063945658402,0
122.861,-0.101960784313725,-0.8970857411678336,0
122.862,-0.101960784313725,-0.7024109360052831,0
122.863,-0.0764705882352941,-0.49549655979884644,0
122.864,-0.0823529411764706,-0.279917444763233,0
122.865,-0.0470588235294118,-0.059830665994599776,0
122.866,-0.0274509803921569,0.16015768679186107,0
122.867,0.0176470588235294,0.3751747886784541,0
122.868,0.0431372549019608,0.5803010640973294,0
122.869,0.0745098039215686,0.7708119917735962,0
122.87,0.103921568627451,0.9424227015017684,0
122.871,0.13921568627451,1.0915150407829266,0
122.872,0.168627450980392,1.2153274437777215,0
122.873,0.17843137254902,1.3120905371867813,0
122.874,0.184313725490196,1.3810960160069448,0
122.875,0.164705882352941,1.4226927871443193,0
122.876,0.143137254901961,1.4382120684491468,0
122.877,0.123529411764706,1.4298308461534692,0
122.878,0.103921568627451,1.400389402651846,0
122.879,0.0941176470588235,1.3531823679035873,0
122.88,0.0941176470588235,1.2917434596150428,0
122.881,0.0686274509803922,1.219642115572746,0
122.882,0.0686274509803922,1.1403064989418936,0
122.883,0.0529411764705882,1.056882853214223,0
122.884,0.0627450980392157,0.9721365605866125,0
122.885,0.0431372549019608,0.8883958788783922,0
122.886,0.0529411764705882,0.807535499022601,0
122.887,0.0431372549019608,0.7309940544526338,0
122.888,0.0588235294117647,0.6598176341113774,0
122.889,0.0588235294117647,0.5947201553425714,0
122.89,0.0686274509803922,0.5361511160960708,0
122.891,0.0529411764705882,0.4843618218046358,0
122.892,0.0745098039215686,0.4394626415834883,0
122.893,0.0686274509803922,0.4014659253899866,0
122.894,0.0745098039215686,0.37031153919731136,0
122.895,0.0490196078431373,0.34587435421447427,0
122.896,0.0333333333333333,0.3279553982284995,0
122.897,0.0431372549019608,0.31626045732328023,0
122.898,0.0294117647058824,0.310371137841266,0
122.899,0.0333333333333333,0.3097134156598333,0
122.9,0.0176470588235294,0.31352780828657734,0
122.901,0.0235294117647059,0.32084418635194983,0
122.902,0.0078431372549019,0.3304634088481499,0
122.903,0.0235294117647059,0.34094759055283075,0
122.904,-0.0019607843137254,0.3506208952296104,0
122.905,0.0078431372549019,0.35758325580720624,0
122.906,-0.0058823529411764,0.3597401941965925,0
122.907,-0.0019607843137254,0.3548525776966041,0
122.908,-0.0058823529411764,0.34061021350756554,0
122.909,0.0078431372549019,0.31473224657707594,0
122.91,-0.0117647058823529,0.2750952096305915,0
122.911,-0.0019607843137254,0.21988629697033346,0
122.912,-0.0117647058823529,0.14777507274971255,0
122.913,0.0137254901960784,0.058091422276580124,0
122.914,0.0176470588235294,-0.04900869217143773,0
122.915,0.109803921568627,-0.17241445645893355,0
122.916,0.229411764705882,-0.3099979771961214,0
122.917,0.33921568627451,-0.4586483774904413,0
122.918,0.129411764705882,-0.6144232435453768,0
122.919,-0.276470588235294,-0.7728171648182844,0
122.92,-0.492156862745098,-0.9291157209284012,0
122.921,-0.398039215686274,-1.0787738509910811,0
122.922,-0.207843137254902,-1.2177465163300654,0
122.923,-0.111764705882353,-1.3427147534784136,0
122.924,-0.096078431372549,-1.4511832652646297,0
122.925,-0.12156862745098,-1.5414590819044474,0
122.926,-0.101960784313725,-1.6125416379252544,0
122.927,-0.117647058823529,-1.6639610627041643,0
122.928,-0.096078431372549,-1.6955988307073153,0
122.929,-0.101960784313725,-1.7075186552362132,0
122.93,-0.0862745098039216,-1.6998284151057852,0
122.931,-0.111764705882353,-1.6725867530231415,0
122.932,-0.101960784313725,-1.6257609767423078,0
122.933,-0.117647058823529,-1.5592363836071665,0
122.934,-0.096078431372549,-1.4728716831708506,0
122.935,-0.117647058823529,-1.3665912454165265,0
122.936,-0.096078431372549,-1.2405024450231006,0
122.937,-0.101960784313725,-1.095025055930803,0
122.938,-0.096078431372549,-0.9310191124616655,0
122.939,-0.111764705882353,-0.7498976890626182,0
122.94,-0.0823529411764706,-0.5537116676597172,0
122.941,-0.0607843137254902,-0.34519499334795767,0
122.942,-0.0666666666666667,-0.12776137653007408,0
122.943,-0.0509803921568627,0.0945532568638777,0
122.944,-0.0215686274509804,0.3172043224616457,0
122.945,0.0235294117647059,0.5353053303105832,0
122.946,0.0529411764705882,0.743839715701144,0
122.947,0.0941176470588235,0.9379040486460033,0
122.948,0.13921568627451,1.1129641375359558,0
122.949,0.164705882352941,1.2651026161097672,0
122.95,0.158823529411765,1.3912361922632173,0
122.951,0.203921568627451,1.4892830322052026,0
122.952,0.184313725490196,1.5582654088549948,0
122.953,0.194117647058824,1.5983390169157226,0
122.954,0.149019607843137,1.610747500063275,0
122.955,0.133333333333333,1.5977080356970264,0
122.956,0.123529411764706,1.5622402817468906,0
122.957,0.13921568627451,1.5079554433512532,0
122.958,0.0882352941176471,1.4388240737642366,0
122.959,0.103921568627451,1.3589409142451572,0
122.96,0.0588235294117647,1.2723035018542492,0
122.961,0.0686274509803922,1.1826189089566637,0
122.962,0.0784313725490196,1.0931497664908578,0
122.963,0.0588235294117647,1.0066066843829782,0
122.964,0.0392156862745098,0.9250898123081709,0
122.965,0.0784313725490196,0.8500782504738212,0
122.966,0.0490196078431373,0.7824626261343508,0
122.967,0.0686274509803922,0.722613381156474,0
122.968,0.0529411764705882,0.6704752822310741,0
122.969,0.0686274509803922,0.6256775664436952,0
122.97,0.0784313725490196,0.5876489081598163,0
122.971,0.0686274509803922,0.5557268366413741,0
122.972,0.0784313725490196,0.5292523290303516,0
122.973,0.0745098039215686,0.5076421303220061,0
122.974,0.0784313725490196,0.49043381476045483,0
122.975,0.0529411764705882,0.47730143722614365,0
122.976,0.0686274509803922,0.46804255541615203,0
122.977,0.0333333333333333,0.4625401442494283,0
122.978,0.0333333333333333,0.460705123131484,0
122.979,0.0294117647058824,0.46240655448832424,0
122.98,0.0490196078431373,0.4673968783075611,0
122.981,0.0294117647058824,0.47523897123297326,0
122.982,0.0392156862745098,0.4852409552301059,0
122.983,0.0078431372549019,0.4964042584689332,0
122.984,0.0137254901960784,0.5073906876747372,0
122.985,-0.0019607843137254,0.5165147327643248,0
122.986,0.0176470588235294,0.5217672027139696,0
122.987,0.0137254901960784,0.5208750467390074,0
122.988,0.0333333333333333,0.5113998510508997,0
122.989,-0.0019607843137254,0.49087444217536336,0
122.99,0.0235294117647059,0.4569736701723637,0
122.991,0.0039215686274509,0.40771175444572044,0
122.992,-0.0019607843137254,0.34165413909986575,0
122.993,0.0235294117647059,0.25812629416950683,0
122.994,0.0882352941176471,0.15739547241927912,0
122.995,0.213725490196078,0.040795125125744076,0
122.996,0.345098039215686,-0.08924187221468616,0
122.997,0.374509803921569,-0.22927116233621456,0
122.998,-0.131372549019608,-0.3750594772775552,0
122.999,-0.401960784313726,-0.5219250353182648,0
123.0,-0.452941176470588,-0.6651436066223135,0
123.001,-0.231372549019608,-0.8003450266198207,0
123.002,-0.111764705882353,-0.9238282791717819,0
123.003,-0.0862745098039216,-1.0327511483963685,0
123.004,-0.096078431372549,-1.1251865116979252,0
